edqm_dose_form,rxnorm_dose_form,has_trac_code,has_trac_term,has_rca_code,has_rca_term,has_amec_code,has_amec_term,has_isic_code,has_isic_term
"sublingual spray, emulsion",,42,no transformation                                 ,47,conventional                                      ,17,spraying,32,oromucosal
"sublingual spray, solution",,42,no transformation                                 ,47,conventional                                      ,17,spraying,32,oromucosal
"sublingual spray, suspension",,42,no transformation                                 ,47,conventional                                      ,17,spraying,32,oromucosal
sublingual film,sublingual film,42,no transformation                                 ,47,conventional                                      ,4,administration,32,oromucosal
sublingual tablet,sublingual tablet,42,no transformation                                 ,47,conventional                                      ,4,administration,32,oromucosal
sublingual powder,sublingual powder,42,no transformation                                 ,47,conventional                                      ,4,administration,32,oromucosal
sublingual lyophilisate,,42,no transformation                                 ,47,conventional                                      ,4,administration,32,oromucosal
implant,drug implant,42,no transformation                                 ,45,prolonged                                         ,113,implantation,33,parenteral
implantation tablet,,42,no transformation                                 ,45,prolonged                                         ,113,implantation,33,parenteral
implantation chain,,42,no transformation                                 ,45,prolonged                                         ,113,implantation,33,parenteral
implantation matrix,,42,no transformation                                 ,45,prolonged                                         ,113,implantation,33,parenteral
implantation suspension,,42,no transformation                                 ,45,prolonged                                         ,113,implantation,33,parenteral
implantation paste,,42,no transformation                                 ,45,prolonged                                         ,113,implantation,33,parenteral
powder for implantation paste,,39,dispersion                                        ,45,prolonged                                         ,113,implantation,33,parenteral
powder for implantation suspension,,39,dispersion                                        ,45,prolonged                                         ,113,implantation,33,parenteral
powder for implantation matrix,,40,dissolution                                       ,45,prolonged                                         ,113,implantation,33,parenteral
