EDQM,,,,,RxNorm Mapping,Bewertung,Kommentar,Original Mapping [https://www.sciencedirect.com/science/article/pii/S138650562200140X],,
PDF-10609000,Human and Veterinary,Deprecated,Ocular,"Eye drops, prolonged-release",Ophthalmic Solution,ok,"allgemein, Freisetzung nicht wiedergegeben",,a solution intended for use in the eye,
PDF-10610000,Human and Veterinary,Current,Ocular,Eye lotion,Ophthalmic Solution,ok,,,a solution intended for use in the eye,
PDF-10611000,Human and Veterinary,Current,Ocular,"Eye lotion, solvent for reconstitution",,,,,,
PDF-10612000,Human and Veterinary,Current,Ocular,Ophthalmic insert,,,,,,
PDF-10613000,Human and Veterinary,Current,Ocular,Ophthalmic strip,,,,,,
PDF-10701000,Human and Veterinary,Current,Auricular,Ear cream,Otic Cream,ok,,,,
PDF-10702000,Human and Veterinary,Current,Auricular,Ear gel,Otic Gel,ok,,,a gel intended for use in the ear,
PDF-10703000,Human and Veterinary,Current,Auricular,Ear ointment,Otic Ointment,ok,,Otic Ointment,a ointment intended for use on or in the ear,
PDF-10704000,Human and Veterinary,Current,Auricular,"Ear drops, solution",Otic Solution,ok,,Otic Solution,a solution intended for use in the ear,
PDF-10705000,Human and Veterinary,Current,Auricular,"Ear drops, suspension",Otic Suspension,ok,,Otic Suspension,a suspension intended for use in the ear,
PDF-10706000,Human and Veterinary,Current,Auricular,"Ear drops, emulsion",,,,,,
PDF-10708000,Human and Veterinary,Current,Auricular,Ear powder,Topical Powder,ok,"sehr allgemein, nichts mit Ohr",,a powder intended for use on the outside surface of the body,
PDF-10709000,Human and Veterinary,Current,Auricular,"Ear spray, solution",Otic Solution,ok,"sehr allgemein, nicht erkennbar, das Spray",,a solution intended for use in the ear,
PDF-10710000,Human and Veterinary,Current,Auricular,"Ear spray, suspension",Otic Suspension,ok,"sehr allgemein, nicht erkennbar, das Spray",,a suspension intended for use in the ear,
PDF-10711000,Human and Veterinary,Current,Auricular,"Ear spray, emulsion",,,,,,
PDF-10712000,Human and Veterinary,Current,Auricular,"Ear wash, solution",Otic Solution,ok,sehr allgemein,,a solution intended for use in the ear,
PDF-10713000,Human and Veterinary,Current,Auricular,"Ear wash, emulsion",,,,,,
PDF-10714000,Human and Veterinary,Current,Auricular,Ear tampon,,,,,,
PDF-10715000,Human and Veterinary,Current,Auricular,Ear stick,,,,,,
PDF-10801000,Human and Veterinary,Current,Nasal,Nasal cream,Nasal Cream,ok,,,,
PDF-10802000,Human and Veterinary,Current,Nasal,Nasal gel,Nasal Gel,ok,,Nasal Gel,a gel intended for use on or in the nasal cavity,
